"Biorreactor","NitrogenSource","Ph","acetato","ethanol"
1,"Amonio","pH6.0",73.192,2.166
1,"Amonio","pH6.0",97.777,3.154
1,"Amonio","pH6.0",103.042,3.42
1,"Amonio","pH6.0",127.432,5.624
1,"Amonio","pH6.0",145.356,6.567
1,"Amonio","pH6.0",147.941,10.194
1,"Amonio","pH6.0",143.014,11.149
1,"Amonio","pH6.0",155.213,17.395
1,"Amonio","pH6.0",170.92,20.667
1,"Amonio","pH6.0",168.902,23.663
1,"Amonio","pH5.5",172.215,26.217
1,"Amonio","pH5.5",156.275,42.516
1,"Amonio","pH5.5",152.691,45.457
1,"Amonio","pH5.5",132.434,58.369
1,"Amonio","pH5.5",126.417,60.105
1,"Amonio","pH5.5",116.925,59.411
1,"Amonio","pH5.5",99.023,62.936
1,"Amonio","pH5.5",92.865,61.926
1,"Amonio","pH5.5",89.871,60.029
1,"Amonio","pH5.5",85.09,54.527
1,"Amonio","pH5.0",85.827,52.241
1,"Amonio","pH5.0",84.534,47.813
1,"Amonio","pH5.0",82.712,47.014
1,"Amonio","pH5.0",70.095,42.899
1,"Amonio","pH5.0",74.415,45.549
1,"Amonio","pH5.0",69.281,43.042
1,"Amonio","pH5.0",69.978,39.404
1,"Amonio","pH5.0",74.274,34.519
1,"Amonio","pH5.0",81.068,30.168
1,"Amonio","pH4.5",104.784,26.607
1,"Amonio","pH4.5",89.874,24.731
1,"Amonio","pH4.5",107.025,20.464
1,"Amonio","pH4.5",88.103,18.763
1,"Amonio","pH4.5",82.457,16.634
1,"Amonio","pH4.5",71.742,13.705
1,"Amonio","pH4.5",66.877,12.65
1,"Amonio","pH4.5",54.818,10.023
1,"Amonio","pH4.5",51.03,9.301
1,"Amonio","pH4.5",65.222,6.513
1,"Amonio","pH4.5",26.26,4.199
1,"Amonio","pH4.5",29.949,2.48
2,"Amonio","pH6.0",72.422,0
2,"Amonio","pH6.0",93.453,2.238
2,"Amonio","pH6.0",100.871,2.456
2,"Amonio","pH6.0",128,7.217
2,"Amonio","pH6.0",151.836,8.532
2,"Amonio","pH6.0",160.433,11.487
2,"Amonio","pH6.0",178.005,13.792
2,"Amonio","pH6.0",179.772,16.511
2,"Amonio","pH6.0",173.265,16.885
2,"Amonio","pH6.0",182.076,19.253
2,"Amonio","pH5.5",187.137,20.32
2,"Amonio","pH5.5",182.2,30.444
2,"Amonio","pH5.5",181.289,32.99
2,"Amonio","pH5.5",170.827,39.899
2,"Amonio","pH5.5",172.696,41.599
2,"Amonio","pH5.5",167.129,42.911
2,"Amonio","pH5.5",161.216,40.239
2,"Amonio","pH5.5",156.563,39.741
2,"Amonio","pH5.5",155.012,39.73
2,"Amonio","pH5.5",152.659,40.375
2,"Amonio","pH5.0",150.278,40.317
2,"Amonio","pH5.0",144.688,42.537
2,"Amonio","pH5.0",141.881,44.58
2,"Amonio","pH5.0",132.027,47.38
2,"Amonio","pH5.0",131.767,47.243
2,"Amonio","pH5.0",127.466,43.526
2,"Amonio","pH5.0",124.645,36.892
2,"Amonio","pH5.0",126.451,28.876
2,"Amonio","pH5.0",126.185,24.717
2,"Amonio","pH4.5",106.273,25.844
2,"Amonio","pH4.5",125.426,19.349
2,"Amonio","pH4.5",107.323,20.487
2,"Amonio","pH4.5",116.986,14.804
2,"Amonio","pH4.5",112.092,13.611
2,"Amonio","pH4.5",100.935,11.257
2,"Amonio","pH4.5",94.802,10.376
2,"Amonio","pH4.5",80.524,8.495
2,"Amonio","pH4.5",75.686,7.922
2,"Amonio","pH4.5",43.465,7.561
2,"Amonio","pH4.5",42.071,3.878
2,"Amonio","pH4.5",36.229,3.26
3,"Amonio","pH6.0",69.754,0
3,"Amonio","pH6.0",90.474,1.88
3,"Amonio","pH6.0",97.947,2.292
3,"Amonio","pH6.0",123.451,3.428
3,"Amonio","pH6.0",141.057,5.303
3,"Amonio","pH6.0",148.513,7.259
3,"Amonio","pH6.0",140.856,7.682
3,"Amonio","pH6.0",170.035,11.844
3,"Amonio","pH6.0",170.266,13.169
3,"Amonio","pH6.0",169.3,13.843
3,"Amonio","pH5.5",168.236,14.169
3,"Amonio","pH5.5",161.079,19.088
3,"Amonio","pH5.5",159.325,20.958
3,"Amonio","pH5.5",154.97,27.804
3,"Amonio","pH5.5",155.016,30.717
3,"Amonio","pH5.5",151.469,37.264
3,"Amonio","pH5.5",154.955,45.149
3,"Amonio","pH5.5",155.326,46.196
3,"Amonio","pH5.5",157.282,46.976
3,"Amonio","pH5.5",154.53,48.085
3,"Amonio","pH5.0",158.753,49.274
3,"Amonio","pH5.0",151.796,55.125
3,"Amonio","pH5.0",146.259,56.186
3,"Amonio","pH5.0",144.849,57.257
3,"Amonio","pH5.0",145.852,56.645
3,"Amonio","pH5.0",138.907,49.054
3,"Amonio","pH5.0",147.534,42.7
3,"Amonio","pH5.0",149.293,33.106
3,"Amonio","pH5.0",148.187,28.284
3,"Amonio","pH4.5",149.36,26.52
3,"Amonio","pH4.5",146.314,21.765
3,"Amonio","pH4.5",144.528,20.139
3,"Amonio","pH4.5",133.955,16.316
3,"Amonio","pH4.5",125.137,14.649
3,"Amonio","pH4.5",108.749,11.736
3,"Amonio","pH4.5",103.784,11.016
3,"Amonio","pH4.5",84.13,8.64
3,"Amonio","pH4.5",77.881,7.925
3,"Amonio","pH4.5",65.077,6.21
3,"Amonio","pH4.5",36.649,3.129
3,"Amonio","pH4.5",22.081,3.399
4,"Nitrato","pH6.0",69.988,0
4,"Nitrato","pH6.0",86.028,0
4,"Nitrato","pH6.0",92.168,0
4,"Nitrato","pH6.0",121.504,1.663
4,"Nitrato","pH6.0",148.062,6.865
4,"Nitrato","pH6.0",143.258,13.251
4,"Nitrato","pH6.0",157.68,16.341
4,"Nitrato","pH6.0",199.186,20.749
4,"Nitrato","pH6.0",231.06,25.102
4,"Nitrato","pH6.0",190.937,21.426
4,"Nitrato","pH5.5",177.15,19.446
4,"Nitrato","pH5.5",136.098,14.43
4,"Nitrato","pH5.5",128.891,13.401
4,"Nitrato","pH5.5",96.51,10.09
4,"Nitrato","pH5.5",89.53,9.053
4,"Nitrato","pH5.5",68.981,6.924
4,"Nitrato","pH5.5",45.345,3.826
4,"Nitrato","pH5.5",40.512,3.1
4,"Nitrato","pH5.5",38.174,2.693
4,"Nitrato","pH5.5",32.749,2.173
4,"Nitrato","pH5.0",31.228,2.055
4,"Nitrato","pH5.0",28.19,1.883
4,"Nitrato","pH5.0",27.992,1.811
4,"Nitrato","pH5.0",34.078,0
4,"Nitrato","pH5.0",34.569,0
4,"Nitrato","pH5.0",47.987,15.133
4,"Nitrato","pH5.0",58.641,34.601
4,"Nitrato","pH5.0",58.266,66.939
4,"Nitrato","pH5.0",55.749,84.122
4,"Nitrato","pH4.5",54.032,96.019
4,"Nitrato","pH4.5",51.566,106.349
4,"Nitrato","pH4.5",51.602,108.348
4,"Nitrato","pH4.5",33.42,127.982
4,"Nitrato","pH4.5",40.071,116.698
4,"Nitrato","pH4.5",38.857,124.293
4,"Nitrato","pH4.5",41.364,126.327
4,"Nitrato","pH4.5",45.738,133.213
4,"Nitrato","pH4.5",38.663,137.66
4,"Nitrato","pH4.5",31.541,133.111
4,"Nitrato","pH4.5",30.476,95.148
4,"Nitrato","pH4.5",35.929,83.446
5,"Nitrato","pH6.0",38.46,0
5,"Nitrato","pH6.0",44.271,0
5,"Nitrato","pH6.0",79.193,0
5,"Nitrato","pH6.0",119.77,0
5,"Nitrato","pH6.0",139.714,2.408
5,"Nitrato","pH6.0",144.466,2.921
5,"Nitrato","pH6.0",146.528,3.345
5,"Nitrato","pH6.0",161.458,3.528
5,"Nitrato","pH6.0",168.641,4.351
5,"Nitrato","pH6.0",175.341,6.204
5,"Nitrato","pH5.5",167.46,7.005
5,"Nitrato","pH5.5",167.511,21.776
5,"Nitrato","pH5.5",152.122,25.108
5,"Nitrato","pH5.5",147.799,36.039
5,"Nitrato","pH5.5",137.972,39.887
5,"Nitrato","pH5.5",117.457,49.131
5,"Nitrato","pH5.5",106.892,58.844
5,"Nitrato","pH5.5",101.616,64.699
5,"Nitrato","pH5.5",92.953,68.325
5,"Nitrato","pH5.5",90.791,73.06
5,"Nitrato","pH5.0",79.881,75.174
5,"Nitrato","pH5.0",78.342,74.67
5,"Nitrato","pH5.0",84.236,72.428
5,"Nitrato","pH5.0",85.49,63.396
5,"Nitrato","pH5.0",87.94,61.977
5,"Nitrato","pH5.0",92.409,51.646
5,"Nitrato","pH5.0",104.939,41.18
5,"Nitrato","pH5.0",113.185,35.034
5,"Nitrato","pH5.0",113.749,31.68
5,"Nitrato","pH4.5",114.103,30.881
5,"Nitrato","pH4.5",106.362,25.936
5,"Nitrato","pH4.5",90.306,24.087
5,"Nitrato","pH4.5",84.491,19.668
5,"Nitrato","pH4.5",67.795,18.045
5,"Nitrato","pH4.5",64.575,14.1
5,"Nitrato","pH4.5",53.855,13.311
5,"Nitrato","pH4.5",50.017,10.854
5,"Nitrato","pH4.5",42.758,9.932
5,"Nitrato","pH4.5",26.18,8.162
5,"Nitrato","pH4.5",21.817,4.701
5,"Nitrato","pH4.5",0,3.828
6,"Nitrato","pH6.0",81.45,1.675
6,"Nitrato","pH6.0",104.823,1.624
6,"Nitrato","pH6.0",114.275,1.763
6,"Nitrato","pH6.0",146.299,3.517
