Sample ID,Baboon ID,Social Group,Reproductive State,Ovarian Cycle Phase,Day into Ovarian Cycle,Day into Pregnancy,Day into Postpartum Amenorrhea,Age (years),Absolute Rank,Social Group Size,Promiscuity a,Rainfall b,Read Count,Coverage c,Shannon's Diversity Index,OTU Richness
V1,B1,D,Ovarian Cycling,Swelling,-15,NA,NA,8,11,75,2.08,NR,6539981,0.9999,4.09,3089
V10,B26,A,Ovarian Cycling,Peri-Ovulation,-3,NA,NA,15,16,63,2.33,R,4300523,0.9998,3.7,2974
V11,B33,D,Ovarian Cycling,Deturgescence,10,NA,NA,6,7,65,1.3,R,3318373,0.9998,3.25,2115
V12,B42,A,Postpartum Amenorrhea,NA,NA,NA,324,16,5,52,1.68,R,3499848,0.9998,5.08,2231
V13,B31,C,Ovarian Cycling,Deturgescence,2,NA,NA,8,6,29,1.44,R,4598220,0.9998,4.53,2908
V14,B22,E,Ovarian Cycling,Swelling,-21,NA,NA,6,16,96,1.43,R,5262135,0.9998,4.51,2864
V15,B11,B,Ovarian Cycling,Deturgescence,9,NA,NA,14,23,78,2,R,6008077,0.9998,4.22,2865
V16,B20,A,Ovarian Cycling,Swelling,-17,NA,NA,10,15,52,1.31,R,3351376,0.9998,3.62,1771
V17,B30,C,Ovarian Cycling,Anestrus,-41,NA,NA,4,6,30,0,R,3602308,0.9997,5.11,3215
V18,B44,A,Ovarian Cycling,Anestrus,-87,NA,NA,6,2,52,1.33,R,2844489,0.9996,4.97,3109
V19,B12,B,Pregnant,NA,NA,7,NA,10,23,82,2.36,NR,3139447,0.9997,3.83,2520
V2,B2,A,Postpartum Amenorrhea,NA,NA,NA,316,6,8,51,1.75,NR,3306185,0.9998,6.77,3149
V20,B47,D,Ovarian Cycling,Deturgescence,11,NA,NA,7,10,66,1.43,NR,4148027,0.9998,2.72,2756
V21,B9,C,Pregnant,NA,NA,50,NA,5,3,29,1.33,R,3324027,0.9997,4.12,2167
V22,B32,E,Pregnant,NA,NA,44,NA,8,2,100,1.88,NR,2814544,0.9997,4.27,2658
