"year","year_number","plant_date","harvest_date","site","crop","plot","repetition","rotation","tillage","yield_mg_ha","yield_bu_ac"
"2024",63,"6/12/24","12/2/24","Wooster","Corn","106","1","CC","CT",11.49,183.04
"2024",63,"6/12/24","12/2/24","Wooster","Corn","212","2","CC","CT",11.86,188.91
"2024",63,"6/12/24","12/2/24","Wooster","Corn","307","3","CC","CT",10.66,169.85
"2024",63,"6/12/24","12/2/24","Wooster","Corn","110","1","CC","MP",9.81,156.35
"2024",63,"6/12/24","12/2/24","Wooster","Corn","216","2","CC","MP",10.56,168.2
"2024",63,"6/12/24","12/2/24","Wooster","Corn","303","3","CC","MP",9.2,146.51
"2024",63,"6/12/24","12/2/24","Wooster","Corn","118","1","CC","NT",9.47,150.94
"2024",63,"6/12/24","12/2/24","Wooster","Corn","206","2","CC","NT",10.03,159.72
"2024",63,"6/12/24","12/2/24","Wooster","Corn","310","3","CC","NT",9.68,154.24
"2024",63,"6/12/24","12/2/24","Wooster","Corn","103","1","CFF","CT",11.04,175.96
"2024",63,"6/12/24","12/2/24","Wooster","Corn","213","2","CFF","CT",12.92,205.84
"2024",63,"6/12/24","12/2/24","Wooster","Corn","317","3","CFF","CT",12.67,201.81
"2024",63,"6/12/24","12/2/24","Wooster","Corn","112","1","CFF","MP",11.5,183.19
"2024",63,"6/12/24","12/2/24","Wooster","Corn","207","2","CFF","MP",12.57,200.23
"2024",63,"6/12/24","12/2/24","Wooster","Corn","306","3","CFF","MP",11.74,187.01
"2024",63,"6/12/24","12/2/24","Wooster","Corn","108","1","CFF","NT",9.85,156.98
"2024",63,"6/12/24","12/2/24","Wooster","Corn","204","2","CFF","NT",9.51,151.53
"2024",63,"6/12/24","12/2/24","Wooster","Corn","311","3","CFF","NT",8.69,138.41
"2024",63,"6/12/24","12/2/24","Wooster","Corn","105","1","CS","CT",11.46,182.64
"2024",63,"6/12/24","12/2/24","Wooster","Corn","210","2","CS","CT",9.45,150.51
"2024",63,"6/12/24","12/2/24","Wooster","Corn","309","3","CS","CT",10.74,171.16
"2024",63,"6/12/24","12/2/24","Wooster","Corn","114","1","CS","MP",8.98,143.02
"2024",63,"6/12/24","12/2/24","Wooster","Corn","218","2","CS","MP",9.78,155.77
"2024",63,"6/12/24","12/2/24","Wooster","Corn","301","3","CS","MP",8.49,135.27
"2024",63,"6/12/24","12/2/24","Wooster","Corn","116","1","CS","NT",4.96,78.97
"2024",63,"6/12/24","12/2/24","Wooster","Corn","202","2","CS","NT",8.73,139.02
"2024",63,"6/12/24","12/2/24","Wooster","Corn","314","3","CS","NT",9.54,151.92
"2024",62,"6/12/24","11/2/24","Northwest","Corn","118","1","CC","CT",7.28,116.01
"2024",62,"6/12/24","11/2/24","Northwest","Corn","203","2","CC","CT",7.19,114.5
"2024",62,"6/12/24","11/2/24","Northwest","Corn","310","3","CC","CT",6.42,102.26
"2024",62,"6/12/24","11/2/24","Northwest","Corn","109","1","CC","MP",7.48,119.18
"2024",62,"6/12/24","11/2/24","Northwest","Corn","207","2","CC","MP",8.42,134.13
"2024",62,"6/12/24","11/2/24","Northwest","Corn","302","3","CC","MP",7.78,123.99
"2024",62,"6/12/24","11/2/24","Northwest","Corn","112","1","CC","NT",8.3,132.29
"2024",62,"6/12/24","11/2/24","Northwest","Corn","213","2","CC","NT",8.76,139.57
"2024",62,"6/12/24","11/2/24","Northwest","Corn","301","3","CC","NT",8.11,129.28
"2024",62,"6/12/24","11/2/24","Northwest","Corn","101","1","CFF","CT",10.07,160.45
"2024",62,"6/12/24","11/2/24","Northwest","Corn","211","2","CFF","CT",10.19,162.35
"2024",62,"6/12/24","11/2/24","Northwest","Corn","306","3","CFF","CT",9.74,155.24
"2024",62,"6/12/24","11/2/24","Northwest","Corn","106","1","CFF","MP",11.29,179.92
"2024",62,"6/12/24","11/2/24","Northwest","Corn","217","2","CFF","MP",10.79,171.97
"2024",62,"6/12/24","11/2/24","Northwest","Corn","312","3","CFF","MP",10.4,165.63
"2024",62,"6/12/24","11/2/24","Northwest","Corn","113","1","CFF","NT",10.07,160.42
"2024",62,"6/12/24","11/2/24","Northwest","Corn","205","2","CFF","NT",11.05,176.05
"2024",62,"6/12/24","11/2/24","Northwest","Corn","317","3","CFF","NT",9.83,156.6
"2024",62,"6/12/24","11/2/24","Northwest","Corn","110","1","CS","CT",9.41,149.89
"2024",62,"6/12/24","11/2/24","Northwest","Corn","209","2","CS","CT",8.95,142.58
"2024",62,"6/12/24","11/2/24","Northwest","Corn","314","3","CS","CT",8.92,142.14
"2024",62,"6/12/24","11/2/24","Northwest","Corn","116","1","CS","MP",9.06,144.38
"2024",62,"6/12/24","11/2/24","Northwest","Corn","202","2","CS","MP",8.84,140.9
"2024",62,"6/12/24","11/2/24","Northwest","Corn","308","3","CS","MP",8.37,133.29
"2024",62,"6/12/24","11/2/24","Northwest","Corn","104","1","CS","NT",9.33,148.72
"2024",62,"6/12/24","11/2/24","Northwest","Corn","215","2","CS","NT",9.34,148.87
"2024",62,"6/12/24","11/2/24","Northwest","Corn","303","3","CS","NT",9.21,146.73
