"year","year_number","plant_date","harvest_date","site","crop","plot","repetition","rotation","tillage","yield_mg_ha","yield_bu_ac"
"2024",63,"6/12/24","10/23/24","Wooster","Soybean","104","1","CS","CT",2.73,40.55
"2024",63,"6/12/24","10/23/24","Wooster","Soybean","211","2","CS","CT",3.03,45.02
"2024",63,"6/12/24","10/23/24","Wooster","Soybean","308","3","CS","CT",2.03,30.19
"2024",63,"6/12/24","10/23/24","Wooster","Soybean","115","1","CS","MP",0.89,13.28
"2024",63,"6/12/24","10/23/24","Wooster","Soybean","217","2","CS","MP",2.93,43.52
"2024",63,"6/12/24","10/23/24","Wooster","Soybean","302","3","CS","MP",2.37,35.31
"2024",63,"6/12/24","10/23/24","Wooster","Soybean","117","1","CS","NT",3.42,50.89
"2024",63,"6/12/24","10/23/24","Wooster","Soybean","201","2","CS","NT",2.45,36.47
"2024",63,"6/12/24","10/23/24","Wooster","Soybean","315","3","CS","NT",3.09,45.93
"2024",62,"6/13/24","10/8/24","Hoytville","Soybean","111","1","CS","CT",4.36,64.81
"2024",62,"6/13/24","10/8/24","Hoytville","Soybean","208","2","CS","CT",4.33,64.35
"2024",62,"6/13/24","10/8/24","Hoytville","Soybean","315","3","CS","CT",4.43,65.87
"2024",62,"6/13/24","10/8/24","Hoytville","Soybean","117","1","CS","MP",3.68,54.66
"2024",62,"6/13/24","10/8/24","Hoytville","Soybean","201","2","CS","MP",4.32,64.28
"2024",62,"6/13/24","10/8/24","Hoytville","Soybean","309","3","CS","MP",4.37,64.99
"2024",62,"6/13/24","10/8/24","Hoytville","Soybean","105","1","CS","NT",3.36,49.97
"2024",62,"6/13/24","10/8/24","Hoytville","Soybean","214","2","CS","NT",3.79,56.4
"2024",62,"6/13/24","10/8/24","Hoytville","Soybean","304","3","CS","NT",3.67,54.51
