"Shannon.s.Diversity.Index","Reproductive.State","Rainfall.b"
4.09,"Ovarian Cycling","NR"
3.7,"Ovarian Cycling","R"
3.25,"Ovarian Cycling","R"
5.08,"Postpartum Amenorrhea","R"
4.53,"Ovarian Cycling","R"
4.51,"Ovarian Cycling","R"
4.22,"Ovarian Cycling","R"
3.62,"Ovarian Cycling","R"
5.11,"Ovarian Cycling","R"
4.97,"Ovarian Cycling","R"
3.83,"Pregnant","NR"
6.77,"Postpartum Amenorrhea","NR"
2.72,"Ovarian Cycling","NR"
4.12,"Pregnant","R"
4.27,"Pregnant","NR"
4.06,"Ovarian Cycling","R"
3.07,"Ovarian Cycling","R"
3.27,"Pregnant","R"
4.86,"Ovarian Cycling","NR"
4.29,"Pregnant","NR"
4.43,"Pregnant","NR"
3.37,"Postpartum Amenorrhea","R"
3.4,"Ovarian Cycling","R"
3.64,"Ovarian Cycling","NR"
3.07,"Ovarian Cycling","NR"
4.38,"Pregnant","NR"
3.95,"Ovarian Cycling","R"
2.74,"Ovarian Cycling","R"
6.59,"Postpartum Amenorrhea","NR"
4.33,"Ovarian Cycling","NR"
3.87,"Ovarian Cycling","NR"
4.21,"Pregnant","R"
3.69,"Pregnant","R"
6.08,"Pregnant","NR"
6.2,"Postpartum Amenorrhea","R"
5.29,"Postpartum Amenorrhea","NR"
4.54,"Postpartum Amenorrhea","NR"
5.66,"Postpartum Amenorrhea","R"
3.91,"Pregnant","R"
6.51,"Postpartum Amenorrhea","NR"
4.86,"Postpartum Amenorrhea","NR"
4.63,"Ovarian Cycling","NR"
2.22,"Ovarian Cycling","R"
3.83,"Ovarian Cycling","NR"
3.82,"Ovarian Cycling","NR"
3.74,"Postpartum Amenorrhea","NR"
3.7,"Ovarian Cycling","NR"
4.95,"Ovarian Cycling","R"
3.18,"Ovarian Cycling","R"
5.11,"Pregnant","R"
2.96,"Ovarian Cycling","R"
