"habitat","watering","fertilization","cover.tall.","cover.short.","cover.bryo."
"Harshserp","unwatered","fertilized",70.2,9.5,0
"Harshserp","unwatered","fertilized",70,6.9,1
"Harshserp","unwatered","fertilized",45.5,5.5,0
"Harshserp","unwatered","fertilized",67.3,1.1,2
"Harshserp","unwatered","fertilized",62.3,1.3,0
"Harshserp","unwatered","fertilized",43,2.7,0
"Harshserp","unwatered","fertilized",57.3,5,3
"Harshserp","unwatered","fertilized",47.1,17,4.6
"Harshserp","unwatered","fertilized",24.7,3,0
"Harshserp","unwatered","fertilized",63.5,3,0.11
"Harshserp","unwatered","unfertilized",27.7,1.9,0
"Harshserp","unwatered","unfertilized",27.8,25,1
"Harshserp","unwatered","unfertilized",12.7,20.9,0
"Harshserp","unwatered","unfertilized",55,16.3,0
"Harshserp","unwatered","unfertilized",45.6,6.6,1
"Harshserp","unwatered","unfertilized",26.6,15.3,10
"Harshserp","unwatered","unfertilized",33,5.5,2.5
"Harshserp","unwatered","unfertilized",44.3,32.2,0.5
"Harshserp","unwatered","unfertilized",31.9,8.5,1
"Harshserp","unwatered","unfertilized",22.5,3.5,0
"Harshserp","unwatered","unfertilized",52.5,10,3
"Harshserp","unwatered","unfertilized",13.4,11,0
"Harshserp","watered","fertilized",93.9,0.4,0
"Harshserp","watered","fertilized",99.7,4.2,2.1
"Harshserp","watered","fertilized",109.1,7.3,0.1
"Harshserp","watered","fertilized",106.1,0.7,0
"Harshserp","watered","fertilized",89,2.6,0
"Harshserp","watered","fertilized",117.8,1.1,0.1
"Harshserp","watered","fertilized",85,1.5,0.2
"Harshserp","watered","fertilized",103.7,23,0
"Harshserp","watered","fertilized",65.1,0,0.01
"Harshserp","watered","fertilized",77.2,0.3,0
"Harshserp","watered","fertilized",91.4,0,0
"Harshserp","watered","unfertilized",30.8,1,2.8
"Harshserp","watered","unfertilized",29.4,3.7,5
"Harshserp","watered","unfertilized",49.8,2.3,25
"Harshserp","watered","unfertilized",24.8,7.4,5
"Harshserp","watered","unfertilized",15.1,30.7,0.01
"Harshserp","watered","unfertilized",63.2,12.7,15
"Harshserp","watered","unfertilized",47.6,6.3,4
"Harshserp","watered","unfertilized",59.9,9.6,5.1
"Harshserp","watered","unfertilized",94.9,1.5,16.2
"Harshserp","watered","unfertilized",18.2,11.1,1
"Lushserp","unwatered","fertilized",55,0,0
"Lushserp","unwatered","fertilized",64.1,0,0
"Lushserp","unwatered","fertilized",77.6,0,0.01
"Lushserp","unwatered","fertilized",68.1,0,0
"Lushserp","unwatered","fertilized",69.2,0,1.2
"Lushserp","unwatered","fertilized",66.2,0.2,0
"Lushserp","unwatered","fertilized",72.3,0,0
"Lushserp","unwatered","fertilized",61.6,0,0
"Lushserp","unwatered","fertilized",58.7,0.1,0.21
"Lushserp","unwatered","fertilized",35.9,0,0
"Lushserp","unwatered","unfertilized",68.1,14.7,0
"Lushserp","unwatered","unfertilized",38.8,5,0
"Lushserp","unwatered","unfertilized",39,7,0
"Lushserp","unwatered","unfertilized",33,2,0
"Lushserp","unwatered","unfertilized",47.8,0.5,0.6
"Lushserp","unwatered","unfertilized",50.7,0.6,0
"Lushserp","unwatered","unfertilized",29.5,0,0
"Lushserp","unwatered","unfertilized",50.2,0,0.2
"Lushserp","unwatered","unfertilized",35.1,0,2
"Lushserp","unwatered","unfertilized",33.9,0.7,0.1
"Lushserp","unwatered","unfertilized",71.7,0.2,0.3
