"Shannon.s.Diversity.Index","Social.Group.Size","Rainfall.b","Baboon.ID","Rain_num"
4.09,75,"NR","B1",0
3.7,63,"R","B26",1
3.25,65,"R","B33",1
5.08,52,"R","B42",1
4.53,29,"R","B31",1
4.51,96,"R","B22",1
4.22,78,"R","B11",1
3.62,52,"R","B20",1
5.11,30,"R","B30",1
4.97,52,"R","B44",1
3.83,82,"NR","B12",0
6.77,51,"NR","B2",0
2.72,66,"NR","B47",0
4.12,29,"R","B9",1
4.27,100,"NR","B32",0
4.06,99,"R","B17",1
3.07,99,"R","B14",1
3.27,82,"R","B36",1
4.86,66,"NR","B41",0
4.29,66,"NR","B34",0
4.43,92,"NR","B28",0
3.37,91,"R","B35",1
3.4,91,"R","B7",1
3.64,57,"NR","B46",0
4.39,58,"R","B2",1
3.07,103,"NR","B3",0
4.38,30,"NR","B4",0
3.95,100,"R","B21",1
2.74,57,"R","B1",1
6.59,95,"NR","B16",0
4.33,53,"NR","B13",0
3.87,57,"NR","B40",0
4.21,55,"R","B38",1
3.69,96,"R","B3",1
6.08,51,"NR","B15",0
6.2,57,"R","B37",1
5.29,51,"NR","B24",0
4.54,76,"NR","B6",0
5.66,51,"R","B29",1
3.91,51,"R","B18",1
6.51,30,"NR","B4",0
4.86,57,"NR","B48",0
4.63,95,"NR","B19",0
2.22,92,"R","B5",1
3.83,95,"NR","B45",0
3.82,53,"NR","B27",0
3.74,75,"NR","B8",0
3.7,76,"NR","B25",0
4.95,98,"R","B23",1
3.18,87,"R","B10",1
5.11,57,"R","B39",1
2.96,98,"R","B43",1
